model,learner,best_emse,best_mae,best_r2,best_params
RandomForest,S-Learner,0.29112188163114,0.4542241688763902,0.2425803632403744,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}"
RandomForest,T-Learner,0.6189333706890694,0.4674232875119464,0.1961466470030657,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}"
RandomForest,X-Learner,0.5925425525350737,0.4673564075766736,0.1967288797756402,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 500}"
RandomForest,R-Learner,0.3632221429938193,0.5081368729880608,0.0550377238157098,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 500}"
GradientBoosting,S-Learner,0.3180617384773822,0.4633048199032484,0.2133177834667391,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,T-Learner,0.6001206375558733,0.4760089416212686,0.1685352685629217,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,X-Learner,0.5965815595965028,0.4761530256853118,0.1668691542839853,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,R-Learner,0.3873992774481195,0.5065262957275164,0.0602521752203139,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}"
NeuralNetwork,S-Learner,0.2752045086588093,0.4595038878061426,0.222317250868903,"{'activation': 'tanh', 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001, 'solver': 'adam'}"
NeuralNetwork,T-Learner,0.7236737760230971,0.47416972283337,0.1708389131959018,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}"
NeuralNetwork,X-Learner,0.7067524183352961,0.4757372985897161,0.1646774127446533,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}"
NeuralNetwork,R-Learner,0.4126979991810556,0.5162827312325946,0.0234434796217393,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}"
Ridge,S-Learner,0.3623049342082056,0.4856833431586774,0.1342395251471623,{'alpha': 10.0}
Ridge,T-Learner,0.5643551163760635,0.49631071591957,0.0920666902431347,{'alpha': 10.0}
Ridge,X-Learner,0.5733649687654973,0.49631071591957,0.0920666902431347,{'alpha': 10.0}
Ridge,R-Learner,0.410867958717673,0.5163369715835818,0.0220574417453585,{'alpha': 10.0}
SVR,S-Learner,0.3307149228160833,0.4685980105134608,0.1864632717091613,"{'C': 0.1, 'epsilon': 0.2, 'kernel': 'rbf'}"
SVR,T-Learner,0.5957016023541633,0.4792734545698353,0.1410098267409941,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}"
SVR,X-Learner,0.5806401625555353,0.4792734545698353,0.1410098267409941,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}"
SVR,R-Learner,0.4099427045501742,0.5171047112392064,0.0202537218706903,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}"
AdaBoost,S-Learner,0.3616228576988217,0.4869690889734865,0.1334824442645289,"{'learning_rate': 0.5, 'n_estimators': 50}"
AdaBoost,T-Learner,0.5725239208290906,0.4968562997348671,0.0945301319992737,"{'learning_rate': 0.5, 'n_estimators': 50}"
AdaBoost,X-Learner,0.5665337211237931,0.4972759461587365,0.094821832069789,"{'learning_rate': 0.5, 'n_estimators': 100}"
AdaBoost,R-Learner,0.4039194917596046,0.5129211975142688,0.0341548810787304,"{'learning_rate': 0.5, 'n_estimators': 100}"
ExtraTrees,S-Learner,0.2782093264063921,0.4445888439800811,0.2660067962141826,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}"
ExtraTrees,T-Learner,0.6774844542286915,0.4592196689492813,0.2174823856649228,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}"
ExtraTrees,X-Learner,0.6247799361992821,0.4586304845849258,0.2192172624310341,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}"
ExtraTrees,R-Learner,0.3879309134638691,0.5170709040967904,0.0223953774924106,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 500}"
