model,learner,best_rmse,best_emse,best_params
RandomForest,S-Learner,0.5763694534927224,0.5619465157208946,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}"
RandomForest,T-Learner,0.5705514545925798,0.7622459640447429,"{'control_params': {'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 20, 'n_estimators': 300}, 'treated_params': {'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 20, 'n_estimators': 300}}"
RandomForest,X-Learner,0.757530501605127,0.9019691590180813,"{'control_params': {'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 20, 'n_estimators': 200}, 'treated_params': {'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 20, 'n_estimators': 200}, 'cate_params': {'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 20, 'n_estimators': 200}}"
RandomForest,R-Learner,0.643098244935986,0.62166989827744,"{'max_depth': 4, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}"
GradientBoosting,S-Learner,0.5752462000736078,0.5656616470077945,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,T-Learner,0.5656988698431795,0.7671942746234393,"{'control_params': {'learning_rate': 0.05, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 0.8}, 'treated_params': {'learning_rate': 0.05, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}}"
GradientBoosting,X-Learner,0.7647213109656932,0.9062883310363586,"{'control_params': {'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}, 'treated_params': {'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}, 'cate_params': {'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}}"
GradientBoosting,R-Learner,0.638569565682569,0.6262193285321772,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 0.8}"
NeuralNetwork,S-Learner,0.5754014804746826,0.5430400268228155,"{'activation': 'tanh', 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001, 'solver': 'adam'}"
NeuralNetwork,T-Learner,0.5835179703463719,0.828828202594131,"{'control_params': {'activation': 'tanh', 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001, 'solver': 'adam'}, 'treated_params': {'activation': 'tanh', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}}"
NeuralNetwork,X-Learner,0.7682165578185028,0.9229920896672494,"{'control_params': {'activation': 'tanh', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}, 'treated_params': {'activation': 'tanh', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}, 'cate_params': {'activation': 'tanh', 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001, 'solver': 'adam'}}"
NeuralNetwork,R-Learner,0.6395658104183279,0.6396955072657227,"{'activation': 'tanh', 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01, 'solver': 'lbfgs'}"
Ridge,S-Learner,0.6006775991541508,0.6005582702453052,{'alpha': 10.0}
Ridge,T-Learner,0.5990685742040568,0.7442557460299335,"{'control_params': {'alpha': 10.0}, 'treated_params': {'alpha': 10.0}}"
